category,yacht,folder_id,url,accessible,error
Моторные яхты,Majestic 48ft,13s10VhEN4iXzn6zuf9YaheXTML6DMsBt,https://drive.google.com/drive/folders/13s10VhEN4iXzn6zuf9YaheXTML6DMsBt,yes,
Моторные яхты,Mami Wata,1qesgSkJEFnVPMhxuZBWAhYhwKkJmR0S_,https://drive.google.com/drive/folders/1qesgSkJEFnVPMhxuZBWAhYhwKkJmR0S_,yes,
Моторные яхты,Monte Carlo 86ft,1cY6rv5hK0tgfN5hcYD04_GYqtSX86IsL,https://drive.google.com/drive/folders/1cY6rv5hK0tgfN5hcYD04_GYqtSX86IsL,yes,
Моторные яхты,Moon Glider 90,1p2CqdnT_ykWQVRdJosYcp_V9_utGpx3K,https://drive.google.com/drive/folders/1p2CqdnT_ykWQVRdJosYcp_V9_utGpx3K,yes,
Моторные яхты,Olympia,1-lRseIGxC-AUiiYAMhiy2OjF1zOcIRvQ,https://drive.google.com/drive/folders/1-lRseIGxC-AUiiYAMhiy2OjF1zOcIRvQ,yes,
Моторные яхты,Orange Princess 54,1rUerkO89lovKmyfMb2YP5ui63kyOaHXc,https://drive.google.com/drive/folders/1rUerkO89lovKmyfMb2YP5ui63kyOaHXc,yes,
Моторные яхты,Posillipo-rizzardi Technema 48,12Bwigh6amXYC2JDlqP8QVkdt5zq2vyDa,https://drive.google.com/drive/folders/12Bwigh6amXYC2JDlqP8QVkdt5zq2vyDa,yes,
Моторные яхты,Princess 42 JB 42ft,1TjQ_Q3S4NZKY5AnyVBNqN1u6A949v8KB,https://drive.google.com/drive/folders/1TjQ_Q3S4NZKY5AnyVBNqN1u6A949v8KB,yes,
Моторные яхты,Princess 52ft,1YDlavPyMBcOxY0glGFxfYjTOumcNFOvb,https://drive.google.com/drive/folders/1YDlavPyMBcOxY0glGFxfYjTOumcNFOvb,yes,
Моторные яхты,Princess 65 Oceana,1F7R06A22fcu60Zr8ESQg9Ba3YPJrCPfU,https://drive.google.com/drive/folders/1F7R06A22fcu60Zr8ESQg9Ba3YPJrCPfU,yes,
Моторные яхты,Princess 74,0B8woRjxZPP9hMDZUQ0tZQVEzNzg,https://drive.google.com/drive/folders/0B8woRjxZPP9hMDZUQ0tZQVEzNzg,no,Cannot retrieve the folder information from the link. You may need to change the
Моторные яхты,Princess 78,1L5Xwc1OLKdV1EzUv-u9s3zmivA-iWVdf,https://drive.google.com/drive/folders/1L5Xwc1OLKdV1EzUv-u9s3zmivA-iWVdf,yes,
Моторные яхты,Princess 78ft,1rmlqBWTHpSOyA5AcNTi1yxjqt-tgBtmI,https://drive.google.com/drive/folders/1rmlqBWTHpSOyA5AcNTi1yxjqt-tgBtmI,yes,
Моторные яхты,Princess Ariel,11s4HBXZVj8myKC4Mn3pnZvlq2CLWpCeg,https://drive.google.com/drive/folders/11s4HBXZVj8myKC4Mn3pnZvlq2CLWpCeg,no,
Моторные яхты,Princess F55 60ft,17gLfQoVGj1HyW-JLNDTGl4JiAVOyGPPM,https://drive.google.com/drive/folders/17gLfQoVGj1HyW-JLNDTGl4JiAVOyGPPM,yes,
Моторные яхты,Princess S65,1c_Ls-zSdOU-fI-8DrH26DS-XbED0jbfY,https://drive.google.com/drive/folders/1c_Ls-zSdOU-fI-8DrH26DS-XbED0jbfY,yes,
Моторные яхты,Princess V39,1cJ64A0xwvEGC8dQ9ecBrGYs5fzmC3_gm,https://drive.google.com/drive/folders/1cJ64A0xwvEGC8dQ9ecBrGYs5fzmC3_gm,yes,
Моторные яхты,Riviera 58ft,1CjdsOSfkXKesPWgX2OPtx8FgZpAbumAe,https://drive.google.com/drive/folders/1CjdsOSfkXKesPWgX2OPtx8FgZpAbumAe,yes,
Моторные яхты,Rizzardi,1J75yTwYfNtn7F7wHfBr9dg-IXK28sOiF,https://drive.google.com/drive/folders/1J75yTwYfNtn7F7wHfBr9dg-IXK28sOiF,yes,
Моторные яхты,SJ-Alina-Symbol 57,1ntZ0qQ1KBrM7kQqTTdJUr35khWS0_rPv,https://drive.google.com/drive/folders/1ntZ0qQ1KBrM7kQqTTdJUr35khWS0_rPv,yes,
Моторные яхты,Sambuca 53,1pOxzoTDsMNyePqkFciAqvh8YRlwkQiaW,https://drive.google.com/drive/folders/1pOxzoTDsMNyePqkFciAqvh8YRlwkQiaW,yes,
Моторные яхты,Sealine 51,1rrKfSkuAqEZSAh7OnbH5hs5HjpbBO75-,https://drive.google.com/drive/folders/1rrKfSkuAqEZSAh7OnbH5hs5HjpbBO75-,yes,
Моторные яхты,Searay Sundancer 46ft,11HU-MF03bekAqO7znbxnmfhn9h0BPJs2,https://drive.google.com/drive/folders/11HU-MF03bekAqO7znbxnmfhn9h0BPJs2,yes,
Моторные яхты,Siam Princess 70,1-Rjpb-rk_eEbzwBIiMa98PF8FWyaUwPm,https://drive.google.com/drive/folders/1-Rjpb-rk_eEbzwBIiMa98PF8FWyaUwPm,yes,
Моторные яхты,Silentworld 129ft,1pG_gxBO3ADUL5kSIOYhZiQRYHUk5Edw3,https://drive.google.com/drive/folders/1pG_gxBO3ADUL5kSIOYhZiQRYHUk5Edw3,yes,
Моторные яхты,Song of Songs 139ft,1lbrio480WxsDmey0ROJEhF3sr7bgia_o,https://drive.google.com/drive/folders/1lbrio480WxsDmey0ROJEhF3sr7bgia_o,no,Cannot retrieve the folder information from the link. You may need to change the
Моторные яхты,Sterx 50ft,0B8woRjxZPP9hR0pCWlRhT1U3a1U,https://drive.google.com/drive/folders/0B8woRjxZPP9hR0pCWlRhT1U3a1U,no,Cannot retrieve the folder information from the link. You may need to change the
Моторные яхты,Sunseeker Manhattan 60,1wHqAzi_CEHmin9EOv9ACWc25wCkhy1_1,https://drive.google.com/drive/folders/1wHqAzi_CEHmin9EOv9ACWc25wCkhy1_1,yes,
Моторные яхты,The Origin,1FtdVKKtaKJkXl1PGsnxnz9qIXPphdVuR,https://drive.google.com/drive/folders/1FtdVKKtaKJkXl1PGsnxnz9qIXPphdVuR,yes,
Моторные яхты,Vtech 68ft,1xr5CZwGff-PrfToTw2IH8kxhT03hHxM8,https://drive.google.com/drive/folders/1xr5CZwGff-PrfToTw2IH8kxhT03hHxM8,yes,
Моторные яхты,Xanadu 111,1H-mo82h9OmVVDteJkGAbSZXUvx6dJ08C,https://drive.google.com/drive/folders/1H-mo82h9OmVVDteJkGAbSZXUvx6dJ08C,yes,
Парусные катамараны,Admiral 40ft,1fgUfn4zkRYHYqIA9klSNH77kxzWn0Gi9,https://drive.google.com/drive/folders/1fgUfn4zkRYHYqIA9klSNH77kxzWn0Gi9,yes,
Парусные катамараны,Ameray 1 37ft,1X9RIAvbL7YPSrQVdEus7qPyi3T2qX1fC,https://drive.google.com/drive/folders/1X9RIAvbL7YPSrQVdEus7qPyi3T2qX1fC,yes,
Парусные катамараны,Ameray 888 39ft,1YEYe2MReij5hQpfGb0y30kNfFEHW30Io,https://drive.google.com/drive/folders/1YEYe2MReij5hQpfGb0y30kNfFEHW30Io,yes,
Парусные катамараны,Asrtea 42ft,1GJwYxZPKbxysYjiqFe8f05OgMwOhx3Uk,https://drive.google.com/drive/folders/1GJwYxZPKbxysYjiqFe8f05OgMwOhx3Uk,yes,
Парусные катамараны,Blue Aqua,1WEyuRJ7a6sWxQVfpV3qFCmiB3hwaxGwr,https://drive.google.com/drive/folders/1WEyuRJ7a6sWxQVfpV3qFCmiB3hwaxGwr,yes,
Парусные катамараны,Blue Indigo Catana 47,1-uXfZZcz2rLxV_SpxqK7Vbu6ZIe2MJxE,https://drive.google.com/drive/folders/1-uXfZZcz2rLxV_SpxqK7Vbu6ZIe2MJxE,yes,
Парусные катамараны,Blue Metis Lagoon 500,1ApTSIF-Ij_sATCWLC79simZH_8LxAOox,https://drive.google.com/drive/folders/1ApTSIF-Ij_sATCWLC79simZH_8LxAOox,yes,
Парусные катамараны,BlueKet 75ft,1-GyXr-yfIC6m-2KALo0-ifPHoVKGfNt1,https://drive.google.com/drive/folders/1-GyXr-yfIC6m-2KALo0-ifPHoVKGfNt1,yes,
Парусные катамараны,Clara,1Y7q7ILKNujuOVqsr-jFF_pAiTuDrqxS_,https://drive.google.com/drive/folders/1Y7q7ILKNujuOVqsr-jFF_pAiTuDrqxS_,yes,
Парусные катамараны,Fountaine Pajot 40ft,1dAb5Ykn5Dy6Vc7gyP2CpGbjGW3ynHbQi,https://drive.google.com/drive/folders/1dAb5Ykn5Dy6Vc7gyP2CpGbjGW3ynHbQi,yes,
Парусные катамараны,Great Shark 46ft,1xKzYJz2BOT6KhwouLFqmmQWid_DyHPfA,https://drive.google.com/drive/folders/1xKzYJz2BOT6KhwouLFqmmQWid_DyHPfA,yes,
Парусные катамараны,Hennessy 40ft,1wSLfb0Mw6EFQ7AthR5CFc1L7Dtu0PvnS,https://drive.google.com/drive/folders/1wSLfb0Mw6EFQ7AthR5CFc1L7Dtu0PvnS,yes,
Парусные катамараны,Lagoon 38,1WKZUEDHGvHtqCej6K9I5DcR8nmpIr2lc,https://drive.google.com/drive/folders/1WKZUEDHGvHtqCej6K9I5DcR8nmpIr2lc,yes,
Парусные катамараны,Lagoon 400S2,1Q0Dc7nTbFvlcV_uA6YBGSmg3W92M3rMV,https://drive.google.com/drive/folders/1Q0Dc7nTbFvlcV_uA6YBGSmg3W92M3rMV,yes,
Парусные катамараны,Lagoon 42 Cloud Dancer 42ft,1BEMSCDcqIk5Wb8g_BBbUrJSrE08R_eP8,https://drive.google.com/drive/folders/1BEMSCDcqIk5Wb8g_BBbUrJSrE08R_eP8,no,Cannot retrieve the folder information from the link. You may need to change the
Парусные катамараны,Lagoon 420,1RjPLX2RkcsmFZXWQ4yNvW3rCmigXl_Pl,https://drive.google.com/drive/folders/1RjPLX2RkcsmFZXWQ4yNvW3rCmigXl_Pl,yes,
Парусные катамараны,Lagoon 421 Peach,11yCgVQIRRYh1FMBous1XRTyC8TvtdP6O,https://drive.google.com/drive/folders/11yCgVQIRRYh1FMBous1XRTyC8TvtdP6O,yes,
Парусные катамараны,Lagoon 440 Bluewings,1eUt27SqAdxIlo9978Hph-vNNxk6pq5Hf,https://drive.google.com/drive/folders/1eUt27SqAdxIlo9978Hph-vNNxk6pq5Hf,yes,
Парусные катамараны,Lagoon 440 Lemon,1se15liFyrunOO-xgdDtE114DR8ajYmLK,https://drive.google.com/drive/folders/1se15liFyrunOO-xgdDtE114DR8ajYmLK,yes,
Парусные катамараны,Lagoon 450 fly Oceanland,1XyjXCUnyGkSMLeCNsX4Un4kSXMaul7zK,https://drive.google.com/drive/folders/1XyjXCUnyGkSMLeCNsX4Un4kSXMaul7zK,yes,
Парусные катамараны,Lagoon 450,0B8woRjxZPP9hUnNBZmtrdVNoWWc,https://drive.google.com/drive/folders/0B8woRjxZPP9hUnNBZmtrdVNoWWc,no,Cannot retrieve the folder information from the link. You may need to change the
Парусные катамараны,Lagoon 560,0B8woRjxZPP9hZ1BvSWpZT2ZtYTA,https://drive.google.com/drive/folders/0B8woRjxZPP9hZ1BvSWpZT2ZtYTA,no,Cannot retrieve the folder information from the link. You may need to change the
Парусные катамараны,Leopard 50,17deqCd0A7U7UvzPKLYQgz_ZvjKxc4FCK,https://drive.google.com/drive/folders/17deqCd0A7U7UvzPKLYQgz_ZvjKxc4FCK,yes,
Парусные катамараны,Lipari 41,0B8woRjxZPP9hbVpzTkhqc2tFaG8,https://drive.google.com/drive/folders/0B8woRjxZPP9hbVpzTkhqc2tFaG8,no,Cannot retrieve the folder information from the link. You may need to change the
Парусные катамараны,Lobster,1anjpE1NTY-ISpzPkQyhq3CfEeJmLZ-AO,https://drive.google.com/drive/folders/1anjpE1NTY-ISpzPkQyhq3CfEeJmLZ-AO,yes,
Парусные катамараны,Myra Leopard 47,1MPbNu0s77GO_QCnpbJszuhwpWypuzMXM,https://drive.google.com/drive/folders/1MPbNu0s77GO_QCnpbJszuhwpWypuzMXM,yes,
Парусные катамараны,Namaste 55ft,1J5NRGCuPxMPLzO-Thz6EmMWLjh4-JIdc,https://drive.google.com/drive/folders/1J5NRGCuPxMPLzO-Thz6EmMWLjh4-JIdc,yes,
Парусные катамараны,Penelope Lagoon 400 S2,1V_nQ6ha5swwrBAHA1iEPIWhoG4aypJTX,https://drive.google.com/drive/folders/1V_nQ6ha5swwrBAHA1iEPIWhoG4aypJTX,yes,
Парусные катамараны,Pina Colada 40ft,1cYwnyW1saRCjU45CDhPpxjG3i8dFKZ8y,https://drive.google.com/drive/folders/1cYwnyW1saRCjU45CDhPpxjG3i8dFKZ8y,yes,
Парусные катамараны,Satisfaction 55ft,1XxVp6sHib_3nNQQWu-Wv6CtJyaIMTGUB,https://drive.google.com/drive/folders/1XxVp6sHib_3nNQQWu-Wv6CtJyaIMTGUB,yes,
Парусные катамараны,Senna Nautitech 47,1dhoafTN76LDlEcXhXxG_O2ZR4alXh3Lu,https://drive.google.com/drive/folders/1dhoafTN76LDlEcXhXxG_O2ZR4alXh3Lu,yes,
Парусные катамараны,Shangani,1W14MZCiGFL7u8atdPcle3WRS33cVZGMY,https://drive.google.com/drive/folders/1W14MZCiGFL7u8atdPcle3WRS33cVZGMY,yes,
Парусные катамараны,Summer Leopard 47,1-ucfcMCBkUfPZoa-6chNXXJYlZ9XQf83,https://drive.google.com/drive/folders/1-ucfcMCBkUfPZoa-6chNXXJYlZ9XQf83,yes,
Парусные катамараны,Sunreef Eco E-Motion 60ft,1NYrMlLcbszLgCnlWM6UThyYmzXNVlQ4E,https://drive.google.com/drive/folders/1NYrMlLcbszLgCnlWM6UThyYmzXNVlQ4E,yes,
Парусные катамараны,Super X 55ft,1-4ROtFhEQ0ZgmnS2It28v0j1yNNuP2nv,https://drive.google.com/drive/folders/1-4ROtFhEQ0ZgmnS2It28v0j1yNNuP2nv,yes,
Парусные катамараны,Super Y 38ft,1ExTlMxU1MhUXPqds7wCLnbJWVPnIw37B,https://drive.google.com/drive/folders/1ExTlMxU1MhUXPqds7wCLnbJWVPnIw37B,yes,
